,0
0,GZMA
1,ADCY7
2,LCP2
3,KLRK1
4,FYB
5,GZMK
6,CD48
7,TARP
8,DOCK10
9,CD53
10,IL2RB
11,PTGER4
12,HLA-DRA
13,RUNX3
14,RAC2
15,CD3D
16,GIMAP4
17,GIMAP2
18,CASP1
19,PTPRC
20,GBP5
21,CCL5
22,TRBC1
23,HLA-DPB1
24,GIMAP7
25,LCP1
26,DOCK2
27,CD52
28,GPR65
29,CD2
30,CXCR6
31,LY75
32,LCK
33,EOMES
34,PRKCB
35,HLA-DMB
36,SAMSN1
37,ARHGDIB
38,HLA-DPA1
39,IL23A
40,TRAF3IP3
41,CTSS
42,AOAH
43,PLEK
44,HLA-DMA
45,LAPTM5
46,CD247
47,CD72
48,GPR18
49,PSMB9
50,IPCEF1
51,RHOH
52,FGL2
53,ZC3H12D
54,TAP1
55,ST8SIA4
56,SRGN
57,AIM2
58,NLRC5
59,C16orf54
60,TNFAIP8
61,TNFSF13B
62,CCL4
63,CLEC2D
64,CD74
65,ARHGAP15
66,GBP2
67,CORO1A
68,ITK
69,APOBEC3G
70,HLA-DRB1
71,CYBB
72,CLEC2B
73,IRF8
74,DOCK11
75,SAMD9L
76,HCST
77,ARHGAP30
78,GPR171
79,BLVRA
80,CD8A
81,ITGAL
82,CMTM7
83,CYBA
84,PVRIG
85,BCL11B
86,CXCL9
87,LPCAT2
88,EVI2B
89,CD27
90,GIMAP5
91,AIF1
92,SLC7A7
93,ARAP2
94,FCER1G
95,ARHGEF3
96,TMSB10
97,IDO1
98,PYHIN1
99,CARD16
100,ITM2A
101,HLA-E
102,CD38
103,CXCL11
104,FCN1
105,DENND2D
106,PLEKHO1
107,BTN3A2
108,CD44
109,March 1
110,BTN3A3
111,CYSLTR1
112,PTPRCAP
113,IFI16
114,SASH3
115,IL2RG
116,TLR8
117,C3AR1
118,SH2D1A
119,IL15
120,ITGB2
121,GBP4
122,TIGIT
123,PAQR8
124,EVI2A
125,TFEC
126,GMFG
127,MPEG1
128,CPVL
129,CD96
130,CRTAM
131,RGS19
132,ARL4C
133,HCP5
134,IGSF6
135,HCK
136,APOBEC3C
137,FAM49B
138,CMTM3
139,TYROBP
140,CCDC109B
141,JAK2
142,CXCL10
143,SELL
144,WIPF1
145,CTRL
146,FAM26F
147,VAV1
148,SLC8A1
149,NAGK
150,IQGAP1
151,C1orf162
152,RNASET2
153,RGS10
154,THEMIS
155,C1QB
156,FCRL3
157,PTPN6
158,LILRB2
159,LYN
160,S100A4
161,GIMAP1
162,TNFAIP8L2
163,CD86
164,HVCN1
165,ADA
166,DOCK8
167,BIN2
168,MCOLN2
169,LPXN
170,CYTIP
171,CXorf21
172,SLAMF7
173,NKG7
174,PTGER2
175,TMSB4X
176,LY96
177,IFI30
178,DEF6
179,HLA-DRB3
180,MLKL
181,NLRC3
182,HOPX
183,HLA-F
184,C7orf23
185,GBP1
186,LRRC8C
187,ARPC2
188,LST1
189,CRLF3
190,HLA-DOB
191,MTHFD2
192,CD97
193,FERMT3
194,FAM49A
195,CST7
196,OSBPL3
197,BATF
198,PRKCH
199,C17orf87
200,CD300A
201,GCNT1
202,PLEKHO2
203,BIRC3
204,SEL1L3
205,TLR1
206,HLA-A
207,PILRA
208,SP140
209,PRR5L
210,TMEM206
211,MS4A7
212,TMC8
213,PTPN22
214,PRF1
215,PYCARD
216,SLC15A3
217,ISG20
218,MAPRE1
219,TNFRSF1B
220,KIAA0748
221,SAMD3
222,TRAF5
223,CD6
224,PATL2
225,TLR2
226,WARS
227,CD180
228,ELF4
229,SLC25A24
230,WDFY4
231,NECAP2
232,KIAA1949
233,BCL2A1
234,EMP3
235,GGTA1
236,DRAM1
237,LILRB1
238,ZNF267
239,Septin 1
240,GZMB
241,IRF1
242,MS4A6A
243,S100A11
244,FNBP1
245,ABR
246,HLA-B
247,CD40
248,FAIM3
249,FASLG
250,CSF2RB
251,STX11
252,PPT1
253,TBC1D10C
254,IL10RA
255,SIRPG
