Sample,Cluster
GSM8519814,0
GSM8520051,0
GSM8520123,1
GSM8519780,0
GSM8519656,0
GSM8519759,0
GSM8519564,1
GSM8520047,0
GSM8520165,1
GSM8519818,0
GSM8519940,0
GSM8519955,1
GSM8520017,0
GSM8519930,0
GSM8519629,0
GSM8520239,0
GSM8520240,0
GSM8520098,1
GSM8519957,1
GSM8519821,0
GSM8519674,1
GSM8519715,1
GSM8519539,1
GSM8520065,1
GSM8520019,0
GSM8519705,1
GSM8519911,0
GSM8519997,1
GSM8520043,0
GSM8520188,0
GSM8519536,0
GSM8519688,0
GSM8520134,0
GSM8519771,1
GSM8520090,0
GSM8520176,1
GSM8519935,0
GSM8520216,1
GSM8519608,1
GSM8520052,0
GSM8520063,0
GSM8520096,0
GSM8519625,0
GSM8520124,0
GSM8519632,0
GSM8519737,1
GSM8520031,0
GSM8520076,0
GSM8519585,0
GSM8520116,1
GSM8519987,0
GSM8519754,1
GSM8519893,0
GSM8520041,0
GSM8519664,0
GSM8519837,0
GSM8519697,1
GSM8519755,0
GSM8519686,0
GSM8519867,0
GSM8520061,0
GSM8519627,0
GSM8519545,1
GSM8519607,0
GSM8520251,0
GSM8519880,1
GSM8520053,0
GSM8520169,0
GSM8519717,0
GSM8519854,1
GSM8519571,0
GSM8519652,1
GSM8519877,0
GSM8519744,1
GSM8519589,0
GSM8520030,0
GSM8519968,0
GSM8519660,1
GSM8519580,0
GSM8520265,0
GSM8520192,0
GSM8519605,0
GSM8520252,0
GSM8519784,0
GSM8519808,0
GSM8519606,0
GSM8519695,0
GSM8520183,0
GSM8519772,0
GSM8519894,0
GSM8519831,0
GSM8520256,0
GSM8520014,0
GSM8519626,1
GSM8520196,0
GSM8519785,0
GSM8519811,0
GSM8519527,0
GSM8519804,0
GSM8519650,0
GSM8519750,0
GSM8519975,0
GSM8520243,0
GSM8519909,1
GSM8519825,1
GSM8520225,0
GSM8519647,0
GSM8520232,0
GSM8519775,0
GSM8519550,1
GSM8519823,1
GSM8519878,0
GSM8520234,1
GSM8520156,1
GSM8519531,1
GSM8519773,0
GSM8519568,1
GSM8519853,0
GSM8520244,0
GSM8519538,1
GSM8520085,0
GSM8519822,0
GSM8519623,1
GSM8519520,0
GSM8519843,1
GSM8519547,0
GSM8519856,0
GSM8519679,1
GSM8519790,0
GSM8519892,1
GSM8520221,0
GSM8519598,0
GSM8520153,0
GSM8519954,1
GSM8520145,1
GSM8519658,1
GSM8519621,1
GSM8520003,0
GSM8520258,0
GSM8520190,0
GSM8520147,0
GSM8519523,0
GSM8519528,0
GSM8519781,0
GSM8519535,0
GSM8520055,0
GSM8519505,0
GSM8519577,0
GSM8519884,0
GSM8519851,0
GSM8520155,1
GSM8519913,0
GSM8519620,0
GSM8520226,1
GSM8520037,0
GSM8519961,0
GSM8520255,0
GSM8519529,0
GSM8520004,0
GSM8519704,0
GSM8519710,0
GSM8520140,0
GSM8519850,0
GSM8520249,1
GSM8520217,1
GSM8520210,0
GSM8519816,1
GSM8519934,0
GSM8520241,1
GSM8519769,0
GSM8520022,0
GSM8519832,0
GSM8520257,0
GSM8519813,1
GSM8519800,1
GSM8519962,0
GSM8520029,0
GSM8519787,1
GSM8520170,0
GSM8519653,0
GSM8520148,1
GSM8519841,0
GSM8519610,0
GSM8519952,0
GSM8519619,0
GSM8519739,1
GSM8520059,0
GSM8520207,1
GSM8519554,0
GSM8519748,0
GSM8519807,1
GSM8519783,0
GSM8519684,1
GSM8519706,1
GSM8519662,0
GSM8519736,1
GSM8520032,0
GSM8520106,0
GSM8519891,0
GSM8520179,1
GSM8519803,0
GSM8520122,0
GSM8519921,0
GSM8519802,1
GSM8519857,0
GSM8519537,0
GSM8519900,0
GSM8519709,1
GSM8519630,0
GSM8519680,0
GSM8520200,1
GSM8520010,0
GSM8519740,0
GSM8519615,0
GSM8519600,1
GSM8519902,0
GSM8519525,1
GSM8520154,0
GSM8520129,0
GSM8519533,0
GSM8519782,0
GSM8520126,0
GSM8519789,0
GSM8520197,0
GSM8519761,0
GSM8519689,0
GSM8520083,0
GSM8520218,0
